business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Organic India Store - Loudon Street, Kolkata",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 80 3776 2760,https://store.organicindia.com/organic-india/kolkata/loudon-street/organic-india-store-in-loudon-street-kolkata--66bd6279-9aed-45a8-a0b0-1089ea974e88/home,4.8,296.0,"Shop No 7, Inside Loudon Mansion, inside Fabindia Experience Centre, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017","Mullick Bazar, Park Street area",22.5455373,88.3566407,ChIJv3PCmpB3AjoRee3VOk53ItE,https://www.google.com/maps/place/?q=place_id:ChIJv3PCmpB3AjoRee3VOk53ItE,part_312,2026-09-20 20:32:09
five star fruit company,Organic Food Store,Organic food store,"Organic food store, Fruits Wholesaler",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 70442 18627,N/A,4.6,17.0,"6A, Bal mukund maccer road, Kolkata, West Bengal 700007","Raja Katra, Machuabazar",22.5811599,88.3597467,ChIJx6xfhbN3AjoRY2Nbs4Dii8k,https://www.google.com/maps/place/?q=place_id:ChIJx6xfhbN3AjoRY2Nbs4Dii8k,part_312,2026-09-20 20:32:09
Prakriti Organics Farm Fresh (India) Private Limited,Organic Food Store,Corporate office,Corporate office,700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",N/A,N/A,4.9,7.0,"15/A, Hare St, Lal Dighi, B.B.D. Bagh, Kolkata, West Bengal 700001","Lal Dighi, B.B.D. Bagh",22.5714944,88.3466354,ChIJee9jd653AjoRrIFN0VlBlUE,https://www.google.com/maps/place/?q=place_id:ChIJee9jd653AjoRrIFN0VlBlUE,part_312,2026-09-20 20:32:09
OrgNaturo,Organic Food Store,Organic food store,"Organic food store, FMCG Manufacturer, Grocery delivery service, Organic shop, Spices Wholesaler",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 33 7962 1751,http://www.orgnaturo.in/,5.0,82.0,"Block C, P-49, Bangur, Bangur Avenue, Lake Town, Kolkata, West Bengal 700055","Bangur, Bangur Avenue, Lake Town",22.604526,88.4102274,ChIJ5wXlZp91AjoRrZfQQSAV8zY,https://www.google.com/maps/place/?q=place_id:ChIJ5wXlZp91AjoRrZfQQSAV8zY,part_312,2026-09-20 20:32:09
Eat Fresh Veggies,Organic Food Store,Fruit and vegetable store,"Fruit and vegetable store, Supplier, E-commerce service, Fruit and vegetable wholesaler, Produce market, Fruits & Vegetable Wholesaler",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 93704 16250,N/A,4.6,54.0,"49/1, SN Banerjee Road, Janbazar, Taltala, Kolkata, West Bengal 700014","Janbazar, Taltala",22.5594319,88.3614841,ChIJ2T67zJx3AjoRQOxCa2sWhrg,https://www.google.com/maps/place/?q=place_id:ChIJ2T67zJx3AjoRQOxCa2sWhrg,part_312,2026-09-20 20:32:09
Narayani Organics,Organic Food Store,Organic shop,Organic shop,700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 98308 33649,N/A,4.9,71.0,"5/52, Netaji Nagar Rd, Netaji Nagar, Kolkata, West Bengal 700040",Netaji Nagar,22.480349999999998,88.3574374,ChIJ6dgDNvtwAjoR2neJRJ-JyN4,https://www.google.com/maps/place/?q=place_id:ChIJ6dgDNvtwAjoR2neJRJ-JyN4,part_312,2026-09-20 20:32:09
"Organic India Store - Gariahat, Kolkata",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 80 3776 2764,https://store.organicindia.com/organic-india/kolkata/gariahat/organic-india-store-in-gariahat-kolkata--8793716a-70bd-454d-b673-59bd2a43c266/home,4.9,330.0,"15/1, Inside Fabindia Experience Centre Plot No 16, Shop No, 59/1B, Hindustan Park, near Coffee N Mood, Gariahat, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Gariahat",22.5186177,88.363344,ChIJv2Y7U1J3AjoRB1DyylSiO9M,https://www.google.com/maps/place/?q=place_id:ChIJv2Y7U1J3AjoRB1DyylSiO9M,part_312,2026-09-20 20:32:09
"Organic India Store - Mukundapur, Kolkata",Organic Food Store,Organic shop,Organic shop,700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 8071 404 354,https://store.organicindia.com/organic-india/organic-shop-in-kolkata/organic-shop-in-mukundapur/organic-india-store-mukundapur-kolkata-in-mukundapur-kolkata--3yl85Z/home,5.0,14.0,"Premises No 332, JL No 21, Organic India Pvt Ltd, Mauza Barakholla, Jadavpur, Eastern Metropolitan Bypass, inside Metro Cash And Carry, Mukundapur, Kolkata, West Bengal 700099","Nitai Nagar, Mukundapur",22.495273899999997,88.3989029,ChIJNTEw42RxAjoRSQBuJA5CpBk,https://www.google.com/maps/place/?q=place_id:ChIJNTEw42RxAjoRSQBuJA5CpBk,part_312,2026-09-20 20:32:09
Tona Organic - Laketown Outlet,Organic Food Store,Organic shop,Organic shop,700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 98746 17218,https://www.organic-tona.com/outlets/,4.6,52.0,"866, Block A, Lake Town, Kolkata, South Dumdum, West Bengal 700089","Block A, Lake Town",22.6085589,88.40162649999999,ChIJd4sAggB2AjoRZkX1x1bBNqU,https://www.google.com/maps/place/?q=place_id:ChIJd4sAggB2AjoRZkX1x1bBNqU,part_312,2026-09-20 20:32:09
Rainbow,Organic Food Store,Organic food store,"Organic food store, Health food store, Natural goods store, Organic shop",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 33 2485 1442,http://www.rainboworganics.in/,4.1,34.0,"33B, Sarat Bose Road Lansdowne, Chakraberia Road N, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.534464099999997,88.3533692,ChIJkSLdcBh3AjoRQqh3oC3knus,https://www.google.com/maps/place/?q=place_id:ChIJkSLdcBh3AjoRQqh3oC3knus,part_312,2026-09-20 20:32:09
Green Apple Grocery (Dunlop),Organic Food Store,Indian grocery store,"Indian grocery store, Grocery store",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 81010 08572,https://gagrocery.co.in/,4.2,136.0,"Tulsi Apartment, Gopal Lal Tagore Rd, Dunlop, U B Colony, Sector 1, Baranagar, West Bengal 700035","Dunlop, U B Colony, Sector 1, Baranagar",22.650775,88.37623699999999,ChIJvyCJIbGd-DkRIiep-tpwS2Y,https://www.google.com/maps/place/?q=place_id:ChIJvyCJIbGd-DkRIiep-tpwS2Y,part_312,2026-09-20 20:32:09
YumifyStore,Organic Food Store,General store,"General store, FMCG Manufacturer",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 85828 20418,https://yumifystore.com/,4.9,27.0,"YumifyStore 19, RN Mukherjee Rd, Lal Bazar, Barabazar Market, Kolkata, West Bengal 700001","Lal Bazar, Barabazar Market",22.5757013,88.35216779999999,ChIJybNbBsB3AjoRLgX9VK4Ouzo,https://www.google.com/maps/place/?q=place_id:ChIJybNbBsB3AjoRLgX9VK4Ouzo,part_312,2026-09-20 20:32:09
The Nutty Hub Store,Organic Food Store,Dry Fruit Store,Dry Fruit Store,700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 74397 23225,https://thenuttyhub.myshopify.com/,4.9,59.0,"107, 4a, Pollock St, Chitpur, Barabazar Market, Kolkata, West Bengal 700001","Chitpur, Barabazar Market",22.5745515,88.35225799999999,ChIJnaEdxKB3AjoREk5k9g_wRKU,https://www.google.com/maps/place/?q=place_id:ChIJnaEdxKB3AjoREk5k9g_wRKU,part_312,2026-09-20 20:32:09
Mukti Fresh,Organic Food Store,Organic food store,"Organic food store, Organic shop",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 99070 99099,https://muktifresh.in/,4.3,116.0,"22, Canal Side Rd, near Kavi Nazrul Metro Station, Barhans, Garia, Kolkata, West Bengal 700084","Barhans, Garia",22.4650532,88.3838869,ChIJfYDNl6FxAjoRKTWvrqvzWMA,https://www.google.com/maps/place/?q=place_id:ChIJfYDNl6FxAjoRKTWvrqvzWMA,part_312,2026-09-20 20:32:09
Tearaja - Buy Tea in Kolkata,Organic Food Store,Tea store,"Tea store, Corporate gift supplier, Tea Exporter, Tea house, Tea Manufacturer, Tea Wholesaler",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 81001 00108,http://www.tearaja.in/,5.0,726.0,"1, RN Mukherjee Rd, below Martin Burn Building, Lal Bazar, Kolkata, West Bengal 700001",Lal Bazar,22.5724052,88.3516621,ChIJB16EqKV3AjoRpN9Yp-cfTTY,https://www.google.com/maps/place/?q=place_id:ChIJB16EqKV3AjoRpN9Yp-cfTTY,part_312,2026-09-20 20:32:09
RENESSA LIFE SCIENCE,Organic Food Store,Traditional market,"Traditional market, Beauty product supplier, Food products supplier, Manufacturer",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",N/A,https://renessalifescience.com/,5.0,2.0,"Ground floor, Room No -25, 4fairlie place, FAIRLIE HOUSE, 4, Fairley Place, HMP, Kolkata, West Bengal 700001","Fairley Place, HMP",22.575344599999998,88.3478413,ChIJd9lpDSR3AjoRuQ6TEm1M4-I,https://www.google.com/maps/place/?q=place_id:ChIJd9lpDSR3AjoRuQ6TEm1M4-I,part_312,2026-09-20 20:32:09
Argania Exports -Tea Buds -Tea & commodity wholesale and Export,Organic Food Store,Tea Wholesaler,"Tea Wholesaler, Spices Exporter, Spices Wholesaler, Tea Exporter, Tea house, Tea Manufacturer, Tea market place, Tea store, Wholesaler",700001,West Bengal Circle,Kolkata Region,Kolkata Central Division,"Council House Street SO, Customs House  SO, Khengrapatti SO",+91 70860 45456,https://arganiaexports.in/,4.8,23.0,"Govind Bhawan, 2, Brabourne Rd, Radha Bazar, Lal Bazar, Kolkata, West Bengal 700001","Radha Bazar, Lal Bazar",22.5733619,88.351434,ChIJEyN2z6t3AjoRZf3v0t5TKyc,https://www.google.com/maps/place/?q=place_id:ChIJEyN2z6t3AjoRZf3v0t5TKyc,part_312,2026-09-20 20:32:09
